60,14591,4.240505302
20,9889,2.48450446
50,15034,2.559148869
40,21727,2.557669503
20,19942,4.031845101
40,17086,5.852051848
40,6827,4.564803032
30,985,2.71128528
50,22629,2.582772917
10,15006,5.685283327
40,7715,2.216839797
30,1508,5.289230194
20,8106,1.600259136
50,10003,4.38044387
10,7992,5.76599514
50,7997,1.337306065
20,24069,5.688171992
20,6568,1.890789744
20,16090,1.422035543
20,18083,5.180042985
40,1961,4.224100369
50,2265,1.920909843
40,8055,4.63699371
50,3311,4.967010316
50,9757,1.305645661
50,23101,3.825826626
60,17411,4.555222437
30,14485,1.651051827
40,14282,4.763618986
50,8906,2.70172878
50,6663,1.561500858
10,17545,5.139699911
20,18272,1.445888048
20,3424,5.373588756
10,25279,1.833254072
30,11393,1.420345074
50,23281,2.600272768
30,5811,4.326398839
30,17838,5.778534881
50,12578,5.63519324
40,25870,3.806150416
50,17720,4.95057315
30,23181,3.916265335
30,1070,3.152610065
30,24791,3.122972568
30,820,3.549652961
20,8135,1.744476875
30,9246,5.399156999
50,21849,2.654509962
40,9826,1.908697617
10,5764,4.724025112
20,17175,1.573031841
50,25203,5.895027935
40,25397,5.80027853
50,724,5.751652243
20,24491,1.345772144
40,3697,4.742020224
50,5665,3.982026899
10,15344,1.951457713
30,24998,1.410568409
10,1090,3.524023477
20,18290,5.627844983
40,12244,2.797021089
20,22451,4.817201211
50,12496,3.65879046
20,17173,3.724750287
10,449,3.350401141
50,4667,1.300174798
30,2654,5.113606404
50,17041,2.900055391
50,2968,4.727381006
20,15986,1.74986117
30,12616,5.499846841
50,11108,1.72164338
50,19373,4.246706887
40,25552,2.250101162
40,21740,2.05128659
50,9165,5.799398403
20,811,5.095338929
30,17589,1.031276236
50,23978,4.279084433
10,8769,5.927140093
10,24172,1.315221317
10,25628,3.284646254
20,23419,4.079593348
50,21601,1.350440007
50,17547,2.218334467
10,4209,3.792330749
20,19617,4.781235256
40,2562,4.099140602
30,14170,3.825087105
40,17680,3.094404434
30,8321,5.499097101
10,3464,5.611089485
40,8080,3.027879417
30,19823,3.704971003
30,22728,2.17405726
30,2448,1.848523352
60,17411,5.327884309
50,4066,5.542217578
30,11657,5.996504447
10,12223,2.548989723
20,16965,3.264499359
20,9352,5.062321737
40,14075,2.500460183
40,20664,1.387653063
20,3714,3.39619301
40,19892,5.22398065
50,20118,2.405754766
10,21883,5.754993337
50,4522,3.490274549
40,590,3.832558661
10,13818,5.821118246
10,1206,1.739221067
